new_municipality,AED_number,points_coordinates
"mons, belgium",98,"(3.952313499999999, 50.45466340000001)"
"mouscron, belgium",65,"(3.2138924, 50.7430519)"
"charleroi, belgium",57,"(4.44601, 50.4096349)"
"tournai, belgium",46,"(3.3880967, 50.6055398)"
"châtelet, belgium",42,"(4.5181885, 50.4039515)"
"gosselies, belgium",26,"(4.431955900000001, 50.4687201)"
"la, belgium",26,"(4.469936, 50.503887)"
"fleurus, belgium",22,"(4.550135399999999, 50.4831209)"
"braine-le-comte, belgium",21,"(4.1354981, 50.61055)"
"leuze-en-hainaut, belgium",21,"(3.6264718, 50.6000761)"
"frameries, belgium",20,"(3.8934891, 50.4069902)"
"lessines, belgium",19,"(3.8289742, 50.7125126)"
"soignies, belgium",18,"(4.0666287, 50.57930349999999)"
"péruwelz, belgium",18,"(3.5913215, 50.5096011)"
"ath, belgium",16,"(3.7727254, 50.6340486)"
"beloeil, belgium",14,"(3.7355475, 50.54877519999999)"
"boussu, belgium",14,"(3.7956691, 50.4339141)"
"dour, belgium",14,"(3.7785252, 50.3966366)"
"courcelles, belgium",13,"(4.333294599999999, 50.4633104)"
"quaregnon, belgium",13,"(3.8645844, 50.4443998)"
"marcinelle, belgium",12,"(4.4276538, 50.39526900000001)"
"marchienne-au-pont, belgium",12,"(4.3957235, 50.4055222)"
"seneffe, belgium",12,"(4.2567751, 50.53310459999999)"
"montignies-sur-sambre, belgium",12,"(4.4777803, 50.4018544)"
"morlanwelz, belgium",11,"(4.2425225, 50.4551692)"
"saint-ghislain, belgium",11,"(3.8169701, 50.4705544)"
"colfontaine, belgium",10,"(3.8451745, 50.4099608)"
"flobecq, belgium",10,"(3.7377447, 50.7371948)"
"ghlin, belgium",10,"(3.8877424, 50.46429639999999)"
"farciennes, belgium",9,"(4.5476376, 50.4313689)"
"anderlues, belgium",9,"(4.2726016, 50.4058698)"
"hornu, belgium",8,"(3.8297469, 50.43086719999999)"
"thuin, belgium",8,"(4.2869141, 50.34060909999999)"
"dottignies, belgium",8,"(3.3048918, 50.7281602)"
"baudour, belgium",7,"(3.8377399, 50.4832756)"
"binche, belgium",7,"(4.1661503, 50.4124176)"
"couillet, belgium",7,"(4.458941800000001, 50.3914084)"
"carnières, belgium",7,"(4.2549, 50.44139)"
"comines, belgium",7,"(2.9997061, 50.76874590000001)"
"forges, belgium",7,"(4.32792, 50.02576)"
"monceau-sur-sambre, belgium",7,"(4.376359, 50.4166487)"
"manage, belgium",7,"(4.23529, 50.50303)"
"enghien, belgium",7,"(4.0395343, 50.6935797)"
"nalinnes, belgium",6,"(4.4465124, 50.3241156)"
"jumet, belgium",6,"(4.4370311, 50.44272489999999)"
"lodelinsart, belgium",6,"(4.447179999999999, 50.43150929999999)"
"fontaine-l evêque, belgium",6,"(4.3211663, 50.4136315)"
"gilly, belgium",6,"(4.4772151, 50.4254594)"
"chapelle-lez-herlaimont, belgium",6,"(4.2837102, 50.46727240000001)"
"chimay, belgium",6,"(4.3146556, 50.0476421)"
"estaimpuis, belgium",6,"(3.2707923, 50.6875048)"
"neufvilles, belgium",5,"(4.0026575, 50.5685485)"
"pont-à-celles, belgium",5,"(4.361845499999999, 50.5120436)"
"ransart, belgium",5,"(4.4760083, 50.4617198)"
"mont-sur-marchienne, belgium",5,"(4.405457999999999, 50.3886584)"
"cuesmes, belgium",5,"(3.9240678, 50.4362266)"
"montigny-le-tilleul, belgium",5,"(4.374504, 50.38082929999999)"
"beaumont, belgium",5,"(4.239955, 50.2372392)"
"kain, belgium",4,"(3.3788194, 50.63799729999999)"
"antoing, belgium",4,"(3.4513915, 50.5672729)"
"herseaux, belgium",4,"(3.2326156, 50.722568)"
"chièvres, belgium",4,"(3.8061103, 50.5859526)"
"pecq, belgium",4,"(3.3386795, 50.6854518)"
"erquelinnes, belgium",4,"(4.1187527, 50.3098164)"
"péronnes-lez-binche, belgium",4,"(4.14874, 50.43722)"
"strépy-bracquegnies, belgium",4,"(4.120000000000001, 50.48055)"
"aiseau-presles, belgium",4,"(4.5741175, 50.41759589999999)"
"wanfercée-baulet, belgium",4,"(4.587829999999999, 50.47273999999999)"
"gerpinnes, belgium",4,"(4.5276846, 50.3364965)"
"lobbes, belgium",4,"(4.2651784, 50.3455247)"
"quevaucamps, belgium",4,"(3.6801487, 50.5186636)"
"blandain, belgium",4,"(3.3037827, 50.6250532)"
"luingne, belgium",4,"(3.2337149, 50.738441)"
"meslin-l evêque, belgium",4,"(3.8474277, 50.649351)"
"pont-de-loup, belgium",3,"(4.54547, 50.41619)"
"ham-sur-heure, belgium",3,"(4.3880774, 50.32212029999999)"
"houdeng goegnies, belgium",3,"(4.15428, 50.48815)"
"haine-saint-paul, belgium",3,"(4.19126, 50.45312999999999)"
"heppignies, belgium",3,"(4.49575, 50.4845)"
"frasnes-lez-buissenal, belgium",3,"(3.6197759, 50.6699339)"
"frasnes-lez-gosselies, belgium",3,"(4.447971, 50.5356096)"
"froidchapelle, belgium",3,"(4.3272023, 50.15017599999999)"
"froyennes, belgium",3,"(3.3471214, 50.6229047)"
"roucourt, belgium",3,"(3.5871404, 50.5291691)"
"comines-warneton, belgium",3,"(2.880675, 50.7265542)"
"feluy, belgium",3,"(4.250265, 50.562207)"
"châtelineau, belgium",3,"(4.51986, 50.41533)"
"amougies, belgium",3,"(3.5068355, 50.74428)"
"arquennes, belgium",3,"(4.2748602, 50.5678375)"
"momignies, belgium",3,"(4.1601276, 50.0271204)"
"luttre, belgium",3,"(4.3914653, 50.5097805)"
"brugelette, belgium",3,"(3.8545171, 50.5993089)"
"tertre, belgium",3,"(3.8118542, 50.4668162)"
"lens, belgium",3,"(3.8998496, 50.5578229)"
"huissignies, belgium",3,"(3.7541, 50.56482)"
"le roeulx, belgium",3,"(4.1104502, 50.5020008)"
"la louvière, belgium",3,"(4.181464099999999, 50.4766336)"
"obourg, belgium",3,"(4.009122500000001, 50.4742413)"
"gouy-lez-piéton, belgium",3,"(4.3342955, 50.4908073)"
"sivry-rance, belgium",3,"(4.1806538, 50.16762139999999)"
"jemappes, belgium",3,"(3.8990501, 50.4479352)"
"pipaix, belgium",3,"(3.5787649, 50.58369219999999)"
"estaimbourg, belgium",3,"(3.3098471, 50.6803312)"
"solre-sur-sambre, belgium",3,"(4.1578836, 50.3071512)"
"rance, belgium",2,"(4.2777573, 50.1421122)"
"quévy-le-grand, belgium",2,"(3.94721, 50.36065000000001)"
"marquain, belgium",2,"(3.3226106, 50.6042275)"
"maffle, belgium",2,"(3.8057979, 50.61699729999999)"
"irchonwelz, belgium",2,"(3.7590505, 50.6179756)"
"loverval, belgium",2,"(4.4737, 50.3747)"
"jamioulx, belgium",2,"(4.4127538, 50.3528183)"
"obaix, belgium",2,"(4.3633209, 50.5285642)"
"havré, belgium",2,"(4.0453246, 50.4639119)"
"leers-nord, belgium",2,"(3.2718413, 50.6876942)"
"honnelles, belgium",2,"(3.6934853, 50.3330721)"
"jurbise, belgium",2,"(3.9103078, 50.5343127)"
"herchies, belgium",2,"(3.8576244, 50.5275483)"
"néchin, belgium",2,"(3.2690718, 50.6670101)"
"gozée, belgium",2,"(4.351614, 50.33345749999999)"
"vaulxtournai, belgium",2,"(3.4334752, 50.5903852)"
"estinnes, belgium",2,"(4.0973216, 50.3970267)"
"bernissart, belgium",2,"(3.644069999999999, 50.4792014)"
"viesville, belgium",2,"(4.4088253, 50.4897213)"
"erbisoeul, belgium",2,"(3.8966431, 50.5161101)"
"souvret, belgium",2,"(4.3497084, 50.45062979999999)"
"ellezelles, belgium",2,"(3.6798889, 50.7338964)"
"ecaussinnes, belgium",2,"(4.1692481, 50.56819710000001)"
"dampremy, belgium",2,"(4.4308155, 50.4171274)"
"trazegnies, belgium",2,"(4.3301766, 50.4626925)"
"bon-secours, belgium",2,"(3.6073123, 50.4974738)"
"bouffioulx, belgium",2,"(4.51635, 50.39071999999999)"
"boussu-lez-walcourt, belgium",2,"(4.3780579, 50.22786139999999)"
"templeuve, belgium",2,"(3.283159, 50.64480709999999)"
"ville-pommeroeul, belgium",2,"(3.7293137, 50.4708319)"
"basècles, belgium",2,"(3.6488934, 50.5259119)"
"roux, belgium",2,"(4.3859913, 50.4411759)"
"fransnes-lez-anvaing, belgium",2,"(3.619494, 50.6667771)"
"wasmuel, belgium",2,"(3.8453838, 50.4456324)"
"ghislenghien, belgium",2,"(3.8774062, 50.6565066)"
"warcoing, belgium",2,"(3.343983600000001, 50.7043825)"
"gaurain-ramecroix, belgium",2,"(3.4892888, 50.5938686)"
"baileux, belgium",2,"(4.37605, 50.02871)"
"baisieux, belgium",2,"(3.697523, 50.39058800000001)"
"callenelle, belgium",2,"(3.5243768, 50.53132309999999)"
"forchies-la-marche, belgium",2,"(4.32036, 50.43664)"
"fontenoy, belgium",2,"(3.4736321, 50.567749)"
"thieulain, belgium",1,"(3.6051759, 50.6179227)"
"wiers, belgium",1,"(3.5327736, 50.5083673)"
"waudrez, belgium",1,"(4.14948, 50.41332)"
"thieusies, belgium",1,"(4.0482964, 50.5151741)"
"thirimont, belgium",1,"(4.2357279, 50.26117980000001)"
"villerot, belgium",1,"(3.7905933, 50.4865886)"
"thuillies, belgium",1,"(4.330952799999999, 50.3003425)"
"warneton, belgium",1,"(2.9488295, 50.7527699)"
"moustier, belgium",1,"(4.6944478, 50.4568755)"
"warchin, belgium",1,"(3.4233289, 50.6103448)"
"villers perwin, belgium",1,"(4.4780447, 50.5262517)"
"wangenies, belgium",1,"(4.51986, 50.47957)"
"mourcourt, belgium",1,"(3.4442619, 50.6531232)"
"vezon, belgium",1,"(3.5002803, 50.5719086)"
"villers-saint-ghislain, belgium",1,"(4.0409306, 50.4320932)"
"paturages, belgium",1,"(3.8383261, 50.4048263)"
"ollignies, belgium",1,"(3.8591532, 50.6846628)"
"orcq, belgium",1,"(3.3492343, 50.6049876)"
"ragnies, belgium",1,"(4.2841508, 50.30855510000001)"
"renlies, belgium",1,"(4.2664251, 50.1914031)"
"ressaix, belgium",1,"(4.19475, 50.42187999999999)"
"quiévrain, belgium",1,"(3.683004999999999, 50.4076136)"
"roisin, belgium",1,"(3.69353, 50.33307)"
"ronquières, belgium",1,"(4.2205125, 50.608026)"
"rumes, belgium",1,"(3.3056419, 50.5537668)"
"péronnes-lez-antoing, belgium",1,"(3.4541886, 50.5503284)"
"saint-symphorien, belgium",1,"(4.0118304, 50.4378687)"
"presles, belgium",1,"(4.57866, 50.38391)"
"saint-vaast, belgium",1,"(4.16036, 50.45431)"
"silly, belgium",1,"(3.9241434, 50.6493708)"
"pommeroeul, belgium",1,"(3.7129612, 50.4623107)"
"sirault, belgium",1,"(3.7899285, 50.5041746)"
"pironchamps, belgium",1,"(4.52028, 50.4316)"
"solre-saint-géry, belgium",1,"(4.243916599999999, 50.2151129)"
"petit-roeulx-lez-nivelles, belgium",1,"(4.3107658, 50.5548179)"
"stambruges, belgium",1,"(3.7172081, 50.5085894)"
"rebaix, belgium",1,"(3.7835209, 50.6604453)"
"ostiches, belgium",1,"(3.7590705, 50.678456)"
"orroir, belgium",1,"(3.4794562, 50.74864299999999)"
"rumillies, belgium",1,"(3.4368434, 50.6199434)"
"escanaffles, belgium",1,"(3.4480032, 50.7536795)"
"calonne, belgium",1,"(3.4365062, 50.5780363)"
"celles, belgium",1,"(3.4581754, 50.7128662)"
"chaussée-notre-dame-louvignies, belgium",1,"(3.9983062, 50.5927405)"
"ciply, belgium",1,"(3.9462109, 50.4219839)"
"deux-acren, belgium",1,"(3.8540312, 50.7289132)"
"ecaussinnes-d enghien, belgium",1,"(4.1538788, 50.5608812)"
"ellignies-sainte-anne, belgium",1,"(3.67696, 50.56277619999999)"
"epinois, belgium",1,"(4.20728, 50.40558000000001)"
"eugies, belgium",1,"(3.88777, 50.39021)"
"mont-saint-hubert, belgium",1,"(3.4040353, 50.6548281)"
"fayt-lez-manage, belgium",1,"(4.226367499999999, 50.4907605)"
"flénu, belgium",1,"(3.8889901, 50.43369149999999)"
"fontaine-valmont, belgium",1,"(4.2155052, 50.3180022)"
"buvrinnes, belgium",1,"(4.20524, 50.38873)"
"bruyelle, belgium",1,"(3.4276343, 50.5573826)"
"brunehaut, belgium",1,"(3.3893007, 50.52054949999999)"
"alken, belgium",1,"(5.306757999999999, 50.8891784)"
"angre, belgium",1,"(3.698129999999999, 50.36839)"
"apeldoorn, belgium",1,"(5.9699231, 52.21115700000001)"
"aubechies, belgium",1,"(3.6814062, 50.5724436)"
"audregnies, belgium",1,"(3.7175716, 50.3830616)"
"aulnois, belgium",1,"(3.902, 50.34048)"
"barbençon, belgium",1,"(4.284377800000001, 50.22160179999999)"
"bas-warneton, belgium",1,"(2.9610169, 50.75912630000001)"
"bassilly, belgium",1,"(3.9336848, 50.6767826)"
"baugnies, belgium",1,"(3.5517755, 50.5615397)"
"bienne-lez-happart, belgium",1,"(4.216184999999999, 50.3521841)"
"blaton, belgium",1,"(3.6598433, 50.4992803)"
"blicquy, belgium",1,"(3.6916495, 50.58717230000001)"
"hérinnes, belgium",1,"(3.3633472, 50.701341)"
"la hestre, belgium",1,"(4.2299939, 50.475919)"
"ladeuze, belgium",1,"(3.76861, 50.56447)"
"lambusart, belgium",1,"(4.553319999999999, 50.45453)"
"landelies, belgium",1,"(4.35075, 50.3798)"
"le, belgium",1,"(2.4896888, 48.92681630000001)"
"leernes, belgium",1,"(4.33217, 50.39821)"
"leval-chaudeville, belgium",1,"(4.20949, 50.23554)"
"ligne, belgium",1,"(3.7046301, 50.6215858)"
"masnuy st jean, belgium",1,"(3.9451238, 50.5310497)"
"maurage, belgium",1,"(4.09927, 50.4567)"
"merbes-le-chateau, belgium",1,"(4.1647872, 50.3243307)"
"mevergnies-lez-lens, belgium",1,"(3.8525209, 50.60734000000001)"
"hyon, belgium",1,"(3.9607279, 50.4395855)"
"genly, belgium",1,"(3.912182, 50.3910334)"
"givry, belgium",1,"(4.035839999999999, 50.37943)"
"goutroux, belgium",1,"(4.3607435, 50.4068438)"
"grandglise, belgium",1,"(3.694239199999999, 50.505325)"
"grandrieu, belgium",1,"(4.1720392, 50.2007845)"
"hacquegnies, belgium",1,"(3.5935257, 50.6513567)"
"haine, belgium",1,"(4.267560987626145, 50.43011141980682)"
"haine-saint-pierre, belgium",1,"(4.1996, 50.45413)"
"harmignies, belgium",1,"(4.0174614, 50.4060459)"
"hautrage, belgium",1,"(3.7659709, 50.4792056)"
"hensies, belgium",1,"(3.6846851, 50.4323245)"
"herfelingen, belgium",1,"(4.0998655, 50.74777109999999)"
"houdeng-aimeries, belgium",1,"(4.1446, 50.48578)"
"acoz, belgium",1,"(4.53391, 50.35858)"
"wodecq, belgium",1,"(3.7467894, 50.7184846)"
